Trade Num,EntryDate,ExitDate,Direction,EntryPrice,ExitPrice,GrossReturn,TransactionCost,NetReturn,DurationDays
1,2015-04-28,2015-04-29,Short,29.523456573486328,29.058303833007812,0.015755361819531934,0.00015755361819531934,0.015597808201336615,1
2,2015-07-10,2015-07-13,Long,26.8351993560791,27.5526180267334,0.02673424039578736,0.0002673424039578736,0.026466897991829486,3
3,2015-08-05,2015-08-06,Long,25.621614456176758,25.79146957397461,0.006629368265937027,6.629368265937027e-05,0.0065630745832776565,1
4,2015-10-26,2015-10-27,Short,26.734405517578125,25.881271362304688,0.03191146908849324,0.0003191146908849324,0.031592354397608303,1
5,2015-12-16,2015-12-17,Long,24.912065505981445,25.103713989257812,0.007692998528377823,7.692998528377823e-05,0.007616068543094045,1
6,2015-12-18,2015-12-22,Long,24.571603775024414,24.1995849609375,-0.015140192617994649,0.0001514019261799465,-0.015291594544174595,4
7,2016-01-08,2016-01-12,Long,21.746479034423828,22.215452194213867,0.02156547545226392,0.0002156547545226392,0.021349820697741283,4
8,2016-03-04,2016-03-08,Short,23.009281158447266,23.09315299987793,-0.0036451308866671255,3.645130886667125e-05,-0.0036815821955337967,4
9,2016-03-31,2016-04-01,Short,24.836416244506836,24.707202911376953,0.0052025755993867035,5.202575599386704e-05,0.005150549843392836,1
10,2016-04-28,2016-05-04,Long,22.175045013427734,21.576580047607422,-0.026988218759327068,0.00026988218759327066,-0.027258100946920338,6
11,2016-05-26,2016-05-31,Short,22.720590591430664,22.887086868286133,-0.007327990713334043,7.327990713334044e-05,-0.007401270620467384,5
12,2016-06-21,2016-06-22,Long,21.68970489501953,21.874446868896484,0.008517495962767766,8.517495962767766e-05,0.008432321003140088,1
13,2016-06-27,2016-06-29,Long,21.30198097229004,21.345317840576172,0.0020344055485969174,2.0344055485969176e-05,0.002014061493110948,2
14,2016-07-19,2016-07-20,Short,22.76848793029785,22.77760887145996,-0.00040059494464593796,4.00594944645938e-06,-0.00040460089409239736,1
